Energy__kWh_,Total_Duration_hours,Charging_Time_hours,Station_Name,Address,Zip_Postal_Code,Start_Hour,End_Hour,Day_of_Week,is_weekend,season
97.321,36.17888889,18.90888889,BOULDER / ATRIUM ST1,1770 13th St,80302,16,17,2,0,2
88.308,135.3461111,20.81083334,BOULDER / FACILITIES ST1,1745 14th street,80302,17,11,3,0,2
101.999,93.64833333,25.22583333,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,17,11,4,0,2
82.697,24.77444444,18.56611111,BOULDER / ATRIUM ST1,900 Walnut St,80302,11,12,5,1,2
106.994,29.38138889,24.77888889,COMM VITALITY / 1104 SPRUCE1,1500 Pearl St,80302,16,18,6,1,2
100.655,65.17111111,25.11416667,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,16,16,0,0,2
220.406,86.77777778,45.29138889,COMM VITALITY / 1000WALNUT1,1360 Gillaspie Dr,80302,17,18,1,0,2
121.209,40.63083333,24.17388889,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,18,8,2,0,2
75.531,113.0563889,20.36277778,BOULDER / FACILITIES ST1,1745 14th street,80302,14,13,3,0,2
74.565,20.40055556,18.48361111,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,10,12,4,0,2
102.115,31.68722222,26.28722222,BOULDER / ATRIUM ST1,1500 Pearl St,80302,10,11,5,1,2
96.305,22.26222222,18.68055555,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,9,13,6,1,2
151.997,56.59416667,33.46111111,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,14,17,0,0,2
123.808,45.08194444,23.35583333,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,13,13,1,0,2
86.012,46.28333333,18.05,BOULDER / ATRIUM ST1,1770 13th St,80302,6,8,2,0,2
158.893,53.88722222,32.42722222,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,12,13,3,0,2
78.031,20.88,18.7825,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,19,19,4,0,2
182.7,82.15416667,35.77944445,BOULDER / ATRIUM ST1,1770 13th St,80302,14,11,5,1,2
117.447,30.22694445,22.80166667,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,11,12,6,1,2
120.525,74.95138889,24.74833333,COMM VITALITY / 1000WALNUT1,1100 Spruce St,80302,12,12,0,0,2
