Total Duration (hours),Charging Time (hours),Energy (kWh),Fee,Station Name,MAC Address,Port Type,Port Number,Plug Type,Address 1,Postal Code,Latitude,Longitude,Start Hour,End Hour,Day of Week,is_weekend,season
37.95166666,24.15138889,75.866325,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,15,1,0,3
28.82666667,20.095,66.608418,0,PALO ALTO CA / BRYANT #2,000D6F0000A2108E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,8,11,2,0,3
33.29444444,24.07555556,80.498113,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,11,3,0,3
29.04722222,26.53638889,86.18066,0,PALO ALTO CA / BRYANT #1,000D6F0000A20D9E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,8,21,4,0,3
19.20833333,18.28361111,60.52292,0,PALO ALTO CA / BRYANT #2,000D6F0000A2108E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.162331,9,13,5,1,3
35.78972222,26.51861111,85.777578,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.162331,16,21,6,1,3
21.13222222,12.51277778,41.872324,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,12,14,0,0,3
33.93083333,23.9575,81.863707,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,11,1,0,3
42.31388889,36.92888889,113.874673,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,15,19,2,0,3
28.66888889,27.81777778,99.025899,0,PALO ALTO CA / BRYANT #2,000D6F0000A2108E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,8,11,3,0,3
31.05,27.34277778,84.110275,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,12,17,4,0,3
26.86444444,20.31722222,77.370483,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,15,19,5,1,3
21.36527778,14.81777778,50.566663,0,PALO ALTO CA / BRYANT #1,000D6F0000A20D9E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,19,13,6,1,3
20.26166667,18.44305556,58.622748,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,17,11,0,0,3
23.23194444,16.20888889,52.949233,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,18,11,1,0,3
30.37638889,21.71583333,71.569911,0,PALO ALTO CA / BRYANT #2,000D6F0000A20F47,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,9,11,2,0,3
23.55666667,19.27444444,67.158665,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,14,3,0,3
38.80027778,29.09833333,100.362364,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,12,13,4,0,3
33.80805555,21.76527778,67.553165,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,18,10,5,1,3
34.25916667,24.1325,83.340723,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.162331,20,12,6,1,3
